window_id,i,j,cooc_count,count_i,count_j,norm_score,npmi,i_partition,j_partition,edge_partition
1,102,109,1,2,2,0.5,0.22629438,2,1,1
0,109,114,1,2,2,0.5,0.22629438,1,2,1
0,109,115,1,2,1,0.70710677,0.6131472,1,3,1
0,103,109,2,3,2,0.8164966,0.63092977,3,1,1
1,110,113,1,3,1,0.57735026,0.3868528,2,1,1
2,102,109,1,1,1,1.0,1.0,2,1,1
1,113,115,1,1,4,0.5,0.22629438,1,3,1
3,103,109,1,2,1,0.70710677,0.36907023,3,1,1
1,101,106,1,1,3,0.57735026,0.3868528,1,2,1
3,101,103,1,1,2,0.70710677,0.36907023,1,3,1
3,105,106,1,1,2,0.70710677,0.36907023,1,2,1
3,105,111,1,1,1,1.0,1.0,1,3,1
3,106,109,1,2,1,0.70710677,0.36907023,2,1,1
0,101,111,1,3,1,0.57735026,0.3868528,1,3,1
3,102,105,1,1,1,1.0,1.0,2,1,1
1,106,113,1,3,1,0.57735026,0.3868528,2,1,1
